template_id,template,count,tfidf_cluster_id
73,- <*> 2005.07.09 <*> <*> <*> RAS KERNEL INFO generating <*>,180,5
85,- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> floating point alignment exceptions,121,31
2,- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> double-hummer alignment exceptions,109,31
3,- <*> <*> <*> <*> <*> RAS KERNEL INFO CE sym <*> at <*> mask <*>,92,2
77,- <*> 2005.07.13 <*> <*> <*> RAS KERNEL INFO generating <*>,87,5
138,"- <*> 2005.12.01 <*> <*> <*> RAS KERNEL INFO <*> total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",71,54
119,- <*> 2005.11.04 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,61,47
14,KERNDTLB <*> 2005.06.11 R30-M0-N9-C:J16-U01 <*> R30-M0-N9-C:J16-U01 RAS KERNEL FATAL data TLB error interrupt,60,6
118,- <*> 2005.11.03 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,59,47
137,- <*> 2005.12.01 <*> <*> <*> RAS KERNEL INFO 0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,51,54
5,- <*> 2005.06.05 <*> <*> <*> RAS KERNEL INFO generating <*>,44,5
1,- <*> <*> <*> <*> <*> RAS KERNEL INFO instruction cache parity error corrected,42,1
80,- <*> 2005.07.15 <*> <*> <*> RAS KERNEL INFO generating <*>,39,5
52,- <*> 2005.06.25 <*> <*> <*> RAS KERNEL INFO generating <*>,38,5
105,- <*> 2005.08.26 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,36,47
96,"- <*> <*> NULL <*> NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",35,33
86,- <*> 2005.07.23 <*> <*> <*> RAS KERNEL INFO generating <*>,33,5
81,- <*> 2005.07.17 <*> <*> <*> RAS KERNEL INFO generating <*>,32,5
104,- <*> <*> <*> <*> <*> RAS KERNEL INFO ciod: generated <*> core files for program <*>,30,39
16,KERNSTOR <*> <*> <*> <*> <*> RAS KERNEL FATAL data storage interrupt,30,5
89,- <*> 2005.07.26 <*> <*> <*> RAS KERNEL INFO generating <*>,29,5
61,- <*> 2005.06.30 <*> <*> <*> RAS KERNEL INFO generating <*>,24,5
63,- <*> 2005.07.01 <*> <*> <*> RAS KERNEL INFO generating <*>,22,5
49,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, No such file or directory",21,23
17,- <*> <*> <*> <*> <*> RAS KERNEL FATAL instruction address: 0x00004ed8,20,8
106,- <*> 2005.08.28 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,19,47
114,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, Permission denied",19,23
11,"- <*> <*> <*> <*> <*> RAS KERNEL INFO <*> ddr errors(s) detected and corrected on rank 0, symbol <*> bit <*>",18,49
10,- <*> <*> <*> <*> <*> RAS APP FATAL ciod: LOGIN <*> failed: No such file or directory,18,23
121,- <*> 2005.11.08 <*> <*> <*> RAS KERNEL INFO iar <*> dear <*>,18,47
71,- <*> 2005.07.07 <*> <*> <*> RAS KERNEL INFO generating <*>,18,5
101,"- <*> <*> <*> <*> <*> RAS APP FATAL ciod: Error loading <*> invalid or missing program image, Exec format error",17,23
67,- <*> 2005.07.03 <*> <*> <*> RAS KERNEL INFO generating <*>,17,5
128,"- <*> <*> <*> <*> <*> RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, <*>",16,50
68,- <*> 2005.07.04 <*> <*> <*> RAS KERNEL INFO generating <*>,16,5
9,- <*> 2005.06.07 <*> <*> <*> RAS KERNEL INFO generating <*>,15,5
74,- <*> 2005.07.10 <*> <*> <*> RAS KERNEL INFO generating <*>,14,5
42,- <*> <*> <*> <*> <*> RAS KERNEL INFO total of <*> ddr error(s) detected and corrected,13,49
76,- <*> 2005.07.12 <*> <*> <*> RAS KERNEL INFO generating <*>,13,5
19,- <*> 2005.06.14 <*> <*> <*> RAS KERNEL FATAL data <*> <*>,13,5
